Date;Mkt-RF;SMB;HML;RMW;CMA;RF
05/31/17;0.0503;0.0002;-0.0079;0.0121;-0.0069;0.0006
06/30/17;-0.0067;0.0162;0.0203;-0.0201;0.0079;0.0006
07/31/17;0.0349;0.0068;0.0259;-0.0224;0.0034;0.0007
08/31/17;0.0011;0.0003;-0.0071;0.0145;-0.0003;0.0009
09/29/17;0.0272;-0.0016;0.0047;0.0033;-0.005;0.0009
10/31/17;0.0059;-0.0099;-0.0013;0.001;-0.0032;0.0009
11/30/17;-0.0001;-0.0029;0.0129;-0.0038;0.009;0.0008
12/29/17;0.0147;0.0154;0.005;-0.0074;0.0033;0.0009
01/31/18;0.0552;0.0064;0.011;-0.0214;0.0091;0.0011
02/28/18;-0.0535;0.011;-0.0075;0.0019;-0.0025;0.0011
03/29/18;-0.0071;-0.0056;-0.0094;0.0145;-0.0137;0.0012
04/30/18;0.022;-0.007;0.0151;-0.0052;0.0043;0.0014
05/31/18;-0.0273;0.0107;-0.0498;0.0238;-0.0242;0.0014
06/29/18;-0.0092;-0.009;-0.0156;-0.0016;-0.0057;0.0014
07/31/18;0.0269;-0.0205;0.004;-0.0053;-0.0086;0.0016
08/31/18;-0.0265;0.0086;-0.0265;0.0088;-0.0174;0.0016
09/28/18;0.0012;-0.0135;0.0234;-0.0053;0.0064;0.0015
10/31/18;-0.0854;-0.015;0.0147;-0.0036;0.0115;0.0019
11/30/18;-0.0131;-0.0111;-0.0057;0.0078;0.0046;0.0018
12/31/18;-0.0459;-0.0052;0.0095;0.007;0;0.0019
01/31/19;0.0619;0.0055;-0.0095;0.0164;-0.0128;0.0021
02/28/19;0.0293;-0.0146;-0.0123;-0.0001;-0.0016;0.0018
03/29/19;0.0058;-0.018;-0.0233;0.0124;-0.0087;0.0019
04/30/19;0.037;0.0014;-0.0104;0.0034;-0.0029;0.0021
05/31/19;-0.0534;0.0121;-0.0154;-0.0059;0.0001;0.0021
06/28/19;0.0587;-0.0256;-0.0132;0.0149;0.001;0.0018
07/31/19;-0.0256;-0.0133;0.0009;-0.0116;-0.0003;0.0019
08/30/19;-0.024;-0.0066;-0.0196;0.0088;0;0.0016
09/30/19;0.0215;-0.0067;0.0308;-0.0046;0.0131;0.0018
10/31/19;0.0327;0.0083;-0.005;0.0125;-0.0155;0.0015
11/29/19;0.0177;0.0189;-0.0224;0.0131;-0.0168;0.0012
12/31/19;0.0407;0.0271;0.0041;-0.0039;0.0011;0.0014
01/31/20;-0.0255;0.0012;-0.0288;0.0056;-0.0178;0.0013
02/28/20;-0.0898;0.002;-0.0074;-0.0073;-0.0154;0.0012
03/31/20;-0.1544;-0.0506;-0.113;0.0172;-0.0304;0.0012
04/30/20;0.067;0.0472;-0.0382;0.0211;-0.0412;0
05/29/20;0.0543;0.0081;-0.0414;0.0237;-0.0439;0.0001
06/30/20;0.0404;-0.0101;0.0174;-0.0178;0.0044;0.0001
07/31/20;0.0399;0.022;-0.0475;0.0078;-0.0225;0.0001
08/31/20;0.0495;0.0265;-0.0174;0.0099;-0.0167;0.0001
09/30/20;-0.0297;0.0053;-0.0374;0.0232;-0.0191;0.0001
10/30/20;-0.0472;0.0114;-0.002;-0.0062;-0.0011;0.0001
11/30/20;0.1662;0.0139;0.1076;-0.0382;0.0169;0.0001
12/31/20;0.0567;0.0448;-0.0177;0.0077;-0.02;0.0001
01/29/21;-0.0125;0.0173;-0.0029;-0.0057;-0.002;0
02/26/21;0.026;0.0142;0.0573;-0.0189;0.0084;0
03/31/21;0.0318;-0.0157;0.0346;0.0026;0.0055;0
04/30/21;0.0529;0.0177;-0.0319;0.0154;-0.0358;0
05/28/21;0.0452;-0.0075;0.0206;0.0117;0.0043;0
06/30/21;-0.0166;-0.0165;-0.025;0.0117;-0.0072;0
07/30/21;0.0209;0.0035;-0.0298;0.0325;-0.0288;0
08/31/21;0.0145;0.0171;-0.0118;0.0023;-0.017;0
09/30/21;-0.0499;-0.0035;0.043;-0.0233;0.0226;0
10/29/21;0.042;-0.0161;-0.0064;0.0146;-0.0065;0
11/30/21;-0.0429;-0.0099;-0.0211;0.0345;-0.0174;0
12/31/21;0.0516;-0.0104;0.0186;0.0055;0.0281;0.0001
01/31/22;-0.0539;-0.0228;0.1209;-0.054;0.0521;0
02/28/22;-0.0377;0.0042;0.0057;0.0069;0.0177;0
03/31/22;-0.0033;0.0065;0.004;-0.0023;-0.0014;0
04/29/22;-0.0586;-0.0098;0.0264;0.0048;0.0407;0
05/31/22;0.0127;-0.0118;0.0523;-0.0228;0.0171;0.0003
06/30/22;-0.1032;-0.0103;-0.0246;0.0171;0.0021;0.0006
07/29/22;0.0526;0.0018;-0.0601;0.0335;-0.0393;0.0008
08/31/22;-0.0668;-0.005;0.0541;-0.0321;0.0217;0.0019
09/30/22;-0.0984;-0.0351;0.0125;-0.002;0.0275;0.0019
10/31/22;0.0666;-0.0067;0.0244;0.0117;0.0013;0.0023
11/30/22;0.1264;-0.0181;-0.0115;0.0105;-0.012;0.0029
12/30/22;-0.0109;0.0153;0.0258;-0.0085;0.0104;0.0033
01/31/23;0.0813;-0.0136;0.0114;-0.0111;0.0119;0.0035
02/28/23;-0.0137;0.0038;0.0336;0.0046;0.0079;0.0034
03/31/23;0.0204;-0.0389;-0.0614;0.0382;-0.0032;0.0036
04/28/23;0.035;-0.0102;0.0114;-0.0138;0.0106;0.0035
05/31/23;-0.057;0.0096;-0.0123;-0.0074;0.0011;0.0036
06/30/23;0.042;-0.0224;0.0241;0.001;0.0086;0.004
07/31/23;0.0245;0.0048;0.0274;-0.0154;0.0068;0.0045
08/31/23;-0.046;-0.0032;0.0166;0.007;0.018;0.0045
09/29/23;-0.0497;-0.0136;0.0354;0.0013;0.0131;0.0043
10/31/23;-0.0437;-0.0197;0.0078;0.0057;0.0081;0.0047
11/30/23;0.0921;-0.0026;-0.0091;-0.0124;-0.0249;0.0044
12/29/23;0.0506;0.0347;-0.0061;0.0024;-0.0118;0.0043
01/31/24;-0.0156;-0.0158;-0.01;0.0071;0.0031;0.0047
02/29/24;0.0127;-0.029;-0.0076;0.0109;-0.0195;0.0042
03/28/24;0.0326;-0.011;0.0357;-0.0211;0.0044;0.0043
04/30/24;-0.0252;0.0102;0.0296;-0.0034;0.0114;0.0047
05/31/24;0.0497;0.0235;0.0039;-0.013;0.0035;0.0044
06/28/24;-0.0328;-0.0148;-0.0233;0.0004;-0.0021;0.0041
07/31/24;0.015;0.0199;0.0133;-0.0319;0.03;0.0045
08/30/24;0.0297;-0.022;-0.0083;0.0026;-0.0039;0.0048
09/30/24;0.0048;-0.0044;0.0174;-0.033;0.0157;0.004
10/31/24;-0.0601;-0.005;0.0139;-0.0083;0.0097;0.0039
11/29/24;-0.0238;-0.0069;0.0027;-0.0072;-0.0011;0.004
12/31/24;-0.0242;0.0131;0.0161;-0.0028;-0.0145;0.0037
